# Plan de cuentas de CADINC exportado de Finnegans (lo mandó el estudio contable, 24/09/2026).
# Códigos convertidos a formato con puntos: 1110101 -> 1.1.1.01.01 (segmentos 1-1-1-2-2). La 4 «RESULTADO DEL PERIODO» es rubro resultado (título).
codigo;nombre;rubro;imputable;auxiliar
2.1.5;OTRAS DEUDAS CORRIENTES;pasivo;NO;
2.1.5.01;Dividendos/utilidades a pagar (Ctes.);pasivo;SI;
2.1.5.02;Honorarios Directores a Pagar (Ctes.);pasivo;SI;
2.1.6;PROVISIONES;pasivo;NO;
2.1.6.01;Provisión para despidos;pasivo;SI;
2.2;PASIVO NO CORRIENTE;pasivo;NO;
2.2.1;DEUDAS FINANCIERAS NO CORRIENTES;pasivo;NO;
2.2.1.01;Préstamo Banco de la Nación Arg. (No Cte.);pasivo;SI;
2.2.1.02;Préstamo Banco de la Pcia. de Bs. As. (No Cte.);pasivo;SI;
2.2.2;CARGAS FISCALES NO CORRIENTES;pasivo;NO;
2.2.2.01;Moratoria;pasivo;SI;
2.2.3;DEUDAS COMERCIALES NO CORRIENTES;pasivo;NO;
2.2.3.01;Proveedores (No Ctes.);pasivo;SI;
2.2.3.02;Documentos a Pagar (No Ctes.);pasivo;SI;
2.2.3.03;Acreedores (No Ctes.);pasivo;SI;
2.2.4;OTRAS DEUDAS NO CORRIENTES;pasivo;SI;
3;PATRIMONIO NETO;pn;NO;
3.1;APORTE DE LOS PROPIETARIOS;pn;NO;
3.1.1;CAPITAL SOCIAL;pn;NO;
3.1.1.01;CAPITAL SOCIAL;pn;SI;
3.1.1.02;Aportes Irrevocables;pn;SI;
3.1.1.03;Acciones a distribuir;pn;SI;
3.1.2;Ajuste del Capital;pn;SI;
3.3;RESERVAS;pn;NO;
3.3.1;Reserva Legal;pn;SI;
3.3.2;Reserva Facultativa;pn;SI;
3.3.3;Reserva Estatutaria;pn;SI;
3.3.4;Ajuste Reserva Legal;pn;SI;
3.4;RESULTADOS ACUMULADOS;pn;NO;
3.4.1;Resultado del ejercicio;pn;SI;
3.4.2;Resultado ejercicios anteriores;pn;SI;
3.4.3;A.R.E.A. (P);pn;SI;
3.4.4;A.R.E.A. (G);pn;SI;
4;RESULTADO DEL PERIODO;resultado;NO;
4.1;INGRESOS;ingreso;NO;
4.1.1;INGRESOS ORDINARIOS;ingreso;NO;
4.1.1.01;VENTAS;ingreso;NO;
4.1.1.01.01;Ventas Obras;ingreso;SI;
4.1.1.01.02;descuentos obtenidos;ingreso;SI;
4.1.1.01.03;Prestaciones de servicios;ingreso;SI;
